key;gender;frequency;probability;yoform;full_form
августа;Ж;13000;0.00016131402133159537;;[]
августина;Ж;5000;6.204385435830592e-05;;[]
авдотья;Ж;2000;2.4817541743322365e-05;;[]
авентина;Ж;7;8.686139610162828e-08;;[]
авия;Ж;114;1.4145998793693748e-06;;[]
аврелия;Ж;555;6.886867833771957e-06;;[]
аврора;Ж;66000;0.0008189788775296381;;[]
агапея;Ж;4;4.963508348664473e-08;;[]
агата;Ж;23000;0.00028540173004820723;;[]
агафа;Ж;22;2.72992959176546e-07;;[]
агафия;Ж;217;2.692703279150477e-06;;[]
агафья;Ж;2000;2.4817541743322365e-05;;[]
аглаида;Ж;141;1.7496366929042268e-06;;[]
аглая;Ж;3000;3.722631261498355e-05;;[]
агнесса;Ж;5000;6.204385435830592e-05;;[]
агния;Ж;7000;8.686139610162828e-05;;[]
аграфена;Ж;2000;2.4817541743322365e-05;;[]
агриппина;Ж;2000;2.4817541743322365e-05;;[]
ада;Ж;25000;0.0003102192717915296;;[]
аделаида;Ж;178000;0.0022087612151556906;;[]
аделина;Ж;36000;0.0004467157513798026;;[]
адельфина;Ж;91;1.1291981493211677e-06;;[]
адолия;Ж;12;1.489052504599342e-07;;[]
аза;Ж;10000;0.00012408770871661184;;[]
азалия;Ж;15000;0.00018613156307491774;;[]
азария;Ж;133;1.6503665259309374e-06;;[]
азелла;Ж;33;4.0948943876481905e-07;;[]
аида;Ж;66000;0.0008189788775296381;;[]
акилина;Ж;2000;2.4817541743322365e-05;;[]
аксинья;Ж;6000;7.44526252299671e-05;;[]
акулина;Ж;3000;3.722631261498355e-05;;[]
албина;Ж;1000;1.2408770871661182e-05;;[]
алевтина;Ж;71000;0.000881022731887944;;[]
александра;Ж;994000;0.012334318246431216;;[]
александрина;Ж;5000;6.204385435830592e-05;;[]
алексина;Ж;2000;2.4817541743322365e-05;;[]
алена;Ж;1000000;0.012408770871661184;алёна;[]
алина;Ж;925000;0.011478113056286593;;[]
алиса;Ж;260000;0.0032262804266319075;;[]
алла;Ж;499000;0.00619197666495893;;[]
альбина;Ж;247000;0.003064966405300312;;[]
альвина;Ж;6000;7.44526252299671e-05;;[]
альфа;Ж;44000;0.0005459859183530921;;[]
альфия;Ж;74000;0.0009182490445029275;;[]
амалия;Ж;15000;0.00018613156307491774;;[]
анания;Ж;521;6.464969624135476e-06;;[]
анастасия;Ж;2000000;0.024817541743322367;;[]
анатолия;Ж;1000;1.2408770871661182e-05;;[]
ангела;Ж;4000;4.963508348664473e-05;;[]
ангелина;Ж;270000;0.0033503681353485196;;[]
андрона;Ж;21;2.605841883048848e-07;;[]
анжелика;Ж;215000;0.0026678857374071545;;[]
анимаиса;Ж;52;6.452560853263815e-07;;[]
аниса;Ж;9000;0.00011167893784495065;;[]
анисия;Ж;2000;2.4817541743322365e-05;;[]
анисья;Ж;2000;2.4817541743322365e-05;;[]
анна;Ж;2000000;0.024817541743322367;;[]
антониана;Ж;24;2.978105009198684e-07;;[]
антонида;Ж;7000;8.686139610162828e-05;;[]
антонина;Ж;169000;0.00209708227731074;;[]
антония;Ж;1000;1.2408770871661182e-05;;[]
анфея;Ж;48;5.956210018397368e-07;;[]
анфиза;Ж;72;8.934315027596052e-07;;[]
анфиса;Ж;28000;0.00034744558440651314;;[]
анфия;Ж;77;9.55475357117911e-07;;[]
анфуса;Ж;17;2.109491048182401e-07;;[]
аполлинария;Ж;4000;4.963508348664473e-05;;[]
аполлония;Ж;420;5.211683766097697e-06;;[]
апраксия;Ж;9;1.1167893784495065e-07;;[]
апрель;Ж;5000;6.204385435830592e-05;;[]
апфия;Ж;16;1.9854033394657893e-07;;[]
аргентина;Ж;3000000;0.03722631261498355;;[]
арефа;Ж;35;4.343069805081414e-07;;[]
ариадна;Ж;7000;8.686139610162828e-05;;[]
арина;Ж;200000;0.0024817541743322367;;[]
ария;Ж;2000;2.4817541743322365e-05;;[]
аркадия;Ж;8000;9.927016697328946e-05;;[]
арсения;Ж;1000;1.2408770871661182e-05;;[]
артема;Ж;72000;0.0008934315027596052;;[]
артемида;Ж;1000;1.2408770871661182e-05;;[]
артемия;Ж;883;1.0956944679676825e-05;;[]
архелая;Ж;13;1.6131402133159538e-07;;[]
аскитрея;Ж;1;1.2408770871661183e-08;;[]
аскитрия;Ж;1;1.2408770871661183e-08;;[]
аста;Ж;1000;1.2408770871661182e-05;;[]
астра;Ж;6000;7.44526252299671e-05;;[]
