key;gender;frequency;probability;yoform
августа;Ж;13000;0.00016131402133159537;августа
августина;Ж;5000;6.204385435830592e-05;августина
авдотья;Ж;2000;2.4817541743322365e-05;авдотья
авентина;Ж;7;8.686139610162828e-08;авентина
авия;Ж;114;1.4145998793693748e-06;авия
аврелия;Ж;555;6.886867833771957e-06;аврелия
аврора;Ж;66000;0.0008189788775296381;аврора
агапея;Ж;4;4.963508348664473e-08;агапея
агата;Ж;23000;0.00028540173004820723;агата
агафа;Ж;22;2.72992959176546e-07;агафа
агафия;Ж;217;2.692703279150477e-06;агафия
агафья;Ж;2000;2.4817541743322365e-05;агафья
аглаида;Ж;141;1.7496366929042268e-06;аглаида
аглая;Ж;3000;3.722631261498355e-05;аглая
агнесса;Ж;5000;6.204385435830592e-05;агнесса
агния;Ж;7000;8.686139610162828e-05;агния
аграфена;Ж;2000;2.4817541743322365e-05;аграфена
агриппина;Ж;2000;2.4817541743322365e-05;агриппина
ада;Ж;25000;0.0003102192717915296;ада
аделаида;Ж;178000;0.0022087612151556906;аделаида
аделина;Ж;36000;0.0004467157513798026;аделина
адельфина;Ж;91;1.1291981493211677e-06;адельфина
адолия;Ж;12;1.489052504599342e-07;адолия
аза;Ж;10000;0.00012408770871661184;аза
азалия;Ж;15000;0.00018613156307491774;азалия
азария;Ж;133;1.6503665259309374e-06;азария
азелла;Ж;33;4.0948943876481905e-07;азелла
аида;Ж;66000;0.0008189788775296381;аида
акилина;Ж;2000;2.4817541743322365e-05;акилина
аксинья;Ж;6000;7.44526252299671e-05;аксинья
акулина;Ж;3000;3.722631261498355e-05;акулина
албина;Ж;1000;1.2408770871661182e-05;албина
алевтина;Ж;71000;0.000881022731887944;алевтина
александра;Ж;994000;0.012334318246431216;александра
александрина;Ж;5000;6.204385435830592e-05;александрина
алексина;Ж;2000;2.4817541743322365e-05;алексина
алена;Ж;1000000;0.012408770871661184;алёна
алина;Ж;925000;0.011478113056286593;алина
алиса;Ж;260000;0.0032262804266319075;алиса
алла;Ж;499000;0.00619197666495893;алла
альбина;Ж;247000;0.003064966405300312;альбина
альвина;Ж;6000;7.44526252299671e-05;альвина
альфа;Ж;44000;0.0005459859183530921;альфа
