key;full1;full2;full3;full4;full5;full6;full7
авксюта;авксентий;;;;;;
аксюта;авксентий;;;;;;
ксюта;ксения;;;;;;
аксюша;авксентий;;;;;;
ксюша;ксения;;;;;;
автономка;автоном;;;;;;
автя;автоном;;;;;;
автюха;автоном;;;;;;
агафонка;агафон;;;;;;
агафоня;агафон;;;;;;
агафоша;агафон;;;;;;
аганя;агафон/агафья;;;;;;
агаша;агафон/агафья;;;;;;
агапоша;агафон;;;;;;
гапоша;агафон;;;;;;
адамушка;адам;;;;;;
адя;аделаида;;;;;;
адаша;адам;;;;;;
азик;азат;;;;;;
азатик;азат;;;;;;
александрушка;александр/александра;;;;;;
алексаня;александр/александра;;;;;;
саня;александр/александра;;;;;;
санюра;александр/александра;;;;;;
санюта;александр/александра;;;;;;
санюха;александр/александра;;;;;;
санюша;александр/александра;;;;;;
алексаха;александр/александра;;;;;;
алексаша;александр/александра;;;;;;
саша;александр/александра;;;;;;
сашуха;александр/александра;;;;;;
сашуля;александр/александра;;;;;;
сашуня;александр/александра;;;;;;
сашута;александр/александра;;;;;;
сашура;александр/александра;;;;;;
шура;александр/александра;;;;;;
шурик;александр;;;;;;
шуруня;александр/александра;;;;;;
алекся;александр/александра;;;;;;
алексюха;александр/александра;;;;;;
алексюша;александр/александра;;;;;;
аля;алевтина;;;;;;
ася;анастасия;александра;;;;;
алексейка;алексей;;;;;;
алеха;алексей;;;;;;
леха;алексей;;;;;;
алеша;алексей;;;;;;
леша;алексей;;;;;;
аленя;алексей;;;;;;
леня;леонид;лев;леонтий;;;;
алека;алексей;;;;;;
алюня;алла;;;;;;
лексейка;алексей;;;;;;
лекса;алексей;;;;;;
лекся;алексей;;;;;;
алимчик;алим;;;;;;
алипийчик;алипий;;;;;;
бера;альберт;;;;;;
анатолька;анатолий;;;;;;
натоля;анатолий;;;;;;
толя;анатолий;;;;;;
толюня;анатолий;;;;;;
толюся;анатолий;;;;;;
толяна;анатолий;;;;;;
толяха;анатолий;;;;;;
толяша;анатолий;;;;;;
натоха;анатолий;;;;;;
натоша;анатолий;;;;;;
тоша;анатолий;антон;платон;;;;
тотя;анатолий;;;;;;
андрейка;андрей;;;;;;
андря;андрей;;;;;;
андрюха;андрей;;;;;;
андрюша;андрей;;;;;;
андрюня;андрей;;;;;;
антонка;антон;;;;;;
антоня;антон;;;;;;
тоня;антонина;;;;;;
антоха;антон;;;;;;
антоша;антон;;;;;;
антося;антон;;;;;;
антя;антон;;;;;;
антонинка;антонин/антонина;;;;;;
аристаха;аристарх;;;;;;
аристаша;аристарх;;;;;;
ристаша;аристарх;;;;;;
аристя;аристарх;;;;;;
аря;аркадий;;;;;;
аркадьюшка;аркадий;;;;;;
аркаша;аркадий;;;;;;
кадди;аркадий;;;;;;
кэдди;аркадий;;;;;;
кайо;аркадий;;;;;;
кадя;аркадий;;;;;;
коди;аркадий;;;;;;
каня;аркадий;;;;;;
кана;аркадий;;;;;;
арсенчик;арсен;;;;;;
арс;арсен;;;;;;
арсеньюшка;арсений;;;;;;
арсеня;арсений;;;;;;
сеня;арсений;ксения;семен;;;;
арся;арсений;;;;;;
арса;арсений;;;;;;
арсюта;арсений;;;;;;
арсюша;арсений;;;;;;
сюша;анастасия;;;;;;
артемьюшка;артем;;;;;;
артя;артем;артур;;;;;
артюня;артем;;;;;;
артюха;артем;;;;;;
артюша;артем;артур;;;;;
тюша;артем;;;;;;
артемка;артем;;;;;;
артемчик;артем;;;;;;
тема;артем;тимофей;;;;;
артеша;артем;;;;;;
артурка;артур;;;;;;
атя;артур;;;;;;
тура;артур;;;;;;
афанасьюшка;афанасий;;;;;;
афанася;афанасий;;;;;;
афанаса;афанасий;;;;;;
фаня;фаина;;;;;;
нася;анастасия;;;;;;
афоня;афанасий;;;;;;
фоня;афанасий;;;;;;
афося;афанасий;;;;;;
фося;афанасий;;;;;;
фоша;афанасий;;;;;;
болеславка;болеслав;;;;;;
бориска;борис;;;;;;
боря;борис;борислав;;;;;
борюля;борис;;;;;;
боруля;борис;;;;;;
борюня;борис;;;;;;
борюся;борис;;;;;;
борисок;борис;;;;;;
борюсик;борис;;;;;;
борюха;борис;;;;;;
борюша;борис;;;;;;
боряха;борис;;;;;;
боряша;борис;;;;;;
борька;борис;;;;;;
боба;борис;;;;;;
бряча;брячислав;;;;;;
вадимка;вадим;;;;;;
дима;дмитрий;;;;;;
вадиша;вадим;;;;;;
вадюша;вадим;;;;;;
валентинка;валентин/валентина;;;;;;
валя;валентин/валентина;;;;;;
валюня;валентин/валентина;;;;;;
валюся;валентин/валентина;;;;;;
валюха;валентин/валентина;;;;;;
валюша;валентин/валентина;;;;;;
валяха;валентин;;;;;;
валяка;валентин;;;;;;
валик;валентин;;;;;;
валера;валерий/валерия;;;;;;
лера;валерия;;;;;;
леруня;валерия;;;;;;
леруся;валерия;;;;;;
леруха;валерия;;;;;;
леруша;валерия;;;;;;
валерьянка;валерьян;;;;;;
валерьяша;валерьян;;;;;;
варлаамка;варлам;;;;;;
