key;gender;frequency;probability;original_name;yoform
ааронович;М;1000;1.2408770871661182e-05;аарон;ааронович
аароновна;Ж;1000;1.2408770871661182e-05;аарон;аароновна
аароныч;М;1000;1.2408770871661182e-05;аарон;аароныч
абагорович;М;5;6.204385435830592e-08;абагор;абагорович
абагоровна;Ж;5;6.204385435830592e-08;абагор;абагоровна
абакумович;М;65;8.065701066579769e-07;абакум;абакумович
абакумовна;Ж;65;8.065701066579769e-07;абакум;абакумовна
абакумыч;М;65;8.065701066579769e-07;абакум;абакумыч
абрамович;М;5000;6.204385435830592e-05;абрам;абрамович
абрамовна;Ж;5000;6.204385435830592e-05;абрам;абрамовна
абрамыч;М;5000;6.204385435830592e-05;абрам;абрамыч
абросимович;М;68;8.437964192729604e-07;абросим;абросимович
абросимовна;Ж;68;8.437964192729604e-07;абросим;абросимовна
абросимыч;М;68;8.437964192729604e-07;абросим;абросимыч
аввакумович;М;227;2.8167909878670885e-06;аввакум;аввакумович
аввакумовна;Ж;227;2.8167909878670885e-06;аввакум;аввакумовна
аввакумыч;М;227;2.8167909878670885e-06;аввакум;аввакумыч
августович;М;9000;0.00011167893784495065;август;августович
августовна;Ж;9000;0.00011167893784495065;август;августовна
августинович;М;3000;3.722631261498355e-05;августин;августинович
августиновна;Ж;3000;3.722631261498355e-05;августин;августиновна
августиныч;М;3000;3.722631261498355e-05;августин;августиныч
авдич;М;2000;2.4817541743322365e-05;авда;авдич
авдична;Ж;2000;2.4817541743322365e-05;авда;авдична
авдеевич;М;2000;2.4817541743322365e-05;авдей;авдеевич
авдеевна;Ж;2000;2.4817541743322365e-05;авдей;авдеевна
авдеич;М;2000;2.4817541743322365e-05;авдей;авдеич
авделаевич;М;5;6.204385435830592e-08;авделай;авделаевич
авделаевна;Ж;5;6.204385435830592e-08;авделай;авделаевна
авдиевич;М;119;1.4766437337276808e-06;авдий;авдиевич
авдиевна;Ж;119;1.4766437337276808e-06;авдий;авдиевна
авдикиевич;М;4;4.963508348664473e-08;авдикий;авдикиевич
авдикиевна;Ж;4;4.963508348664473e-08;авдикий;авдикиевна
авдикьевич;М;4;4.963508348664473e-08;авдикий;авдикьевич
авдикьевна;Ж;4;4.963508348664473e-08;авдикий;авдикьевна
авдонович;М;2000;2.4817541743322365e-05;авдон;авдонович
авдоновна;Ж;2000;2.4817541743322365e-05;авдон;авдоновна
авелевич;М;655;8.127744920938075e-06;авель;авелевич
авелевна;Ж;655;8.127744920938075e-06;авель;авелевна
авенирович;М;763;9.467892175077483e-06;авенир;авенирович
авенировна;Ж;763;9.467892175077483e-06;авенир;авенировна
авенирыч;М;763;9.467892175077483e-06;авенир;авенирыч
авентинович;М;160;1.9854033394657894e-06;авентин;авентинович
авентиновна;Ж;160;1.9854033394657894e-06;авентин;авентиновна
аверьевич;М;28;3.474455844065131e-07;аверий;аверьевич
